,Epoch,Mixup Layers,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
21,21,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3757590055465698,29.180002212524414,0.38019187450408937,28.643998503684998
22,22,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.37917385101318357,32.48000144958496,0.38328118324279786,31.827998161315918
23,23,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3563023805618286,53.839993476867676,0.36131720542907714,52.17199921607971
24,24,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.37764773368835447,33.18000137805939,0.3819642305374146,32.044002413749695
25,25,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.38001270294189454,33.720001578330994,0.3843482732772827,32.35600292682648
26,26,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.35863566398620605,48.340001702308655,0.3637521743774414,47.25600183010101
27,27,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.35992774963378904,39.160001277923584,0.3647025108337402,38.7440025806427
28,28,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.34723334312438964,40.380001068115234,0.3522399187088013,39.323997497558594
29,29,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.343953275680542,49.219998717308044,0.34942944049835206,48.023998737335205
30,30,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.39635748863220216,29.72000241279602,0.39985592365264894,29.552000761032104
